filename,labels
coffee_cups_with_coffee_stains_172.jpg,"stains, cups, coffee"
dirty_sauce_pan_with_sauce_residue_306.jpg,"pan, dirty, residue"
burnt_pan_with_residue_7.jpg,"burnt, pan, residue"
dirty_wok_with_food_residue_and_food_stains_21.jpg,"food, wok, residue, dirty, stains"
unwashed_plates_386.jpg,
dirty_casserole_with_food_residue_and_food_stains_114.jpg,"food, casserole, residue, dirty, stains"
dirty_wine_glass_with_red_wine_stains_237.jpg,"stains, dirty"
dirty_sauce_pan_with_sauce_residue_460.jpg,"pan, dirty, residue"
dirty_sauce_pan_with_sauce_residue_474.jpg,"pan, dirty, residue"
dirty_casserole_with_food_residue_and_food_stains_100.jpg,"food, casserole, residue, dirty, stains"
dirty_wine_glass_with_red_wine_stains_223.jpg,"stains, dirty"
greasy_plates_with_food_stains_159.jpg,"stains, food"
dirty_saute_pan_with_burnt_residue_169.jpg,"burnt, pan, dirty, residue"
unwashed_plates_392.jpg,
dirty_sauce_pan_with_sauce_residue_312.jpg,"pan, dirty, residue"
coffee_cups_with_coffee_stains_166.jpg,"stains, cups, coffee"
dirty_wok_with_food_residue_and_food_stains_35.jpg,"food, wok, residue, dirty, stains"
dirty_dutch_oven_with_food_residue_and_food_stains_177.jpg,"food, dutch, residue, dirty, oven, stains"
dirty_saute_pan_with_burnt_residue_141.jpg,"burnt, pan, dirty, residue"
greasy_plates_with_food_stains_171.jpg,"stains, food"
dirty_casserole_with_food_residue_and_food_stains_128.jpg,"food, casserole, residue, dirty, stains"
dirty_sauce_pan_with_sauce_residue_448.jpg,"pan, dirty, residue"
greasy_plates_with_food_stains_165.jpg,"stains, food"
dirty_saute_pan_with_burnt_residue_155.jpg,"burnt, pan, dirty, residue"
unwashed_plates_345.jpg,
burnt_pan_with_residue_316.jpg,"burnt, pan, residue"
dirty_dutch_oven_with_food_residue_and_food_stains_188.jpg,"food, dutch, residue, dirty, oven, stains"
burnt_pan_with_residue_470.jpg,"burnt, pan, residue"
unwashed_plates_423.jpg,
burnt_pan_with_residue_464.jpg,"burnt, pan, residue"
unwashed_plates_437.jpg,
unwashed_plates_351.jpg,
burnt_pan_with_residue_302.jpg,"burnt, pan, residue"
unwashed_plates_379.jpg,
dirty_saute_pan_with_burnt_residue_182.jpg,"burnt, pan, dirty, residue"
burnt_pan_with_residue_458.jpg,"burnt, pan, residue"
dirty_saute_pan_with_burnt_residue_196.jpg,"burnt, pan, dirty, residue"
coffee_cups_with_coffee_stains_199.jpg,"stains, cups, coffee"
coffee_cups_with_coffee_stains_416.jpg,"stains, cups, coffee"
dirty_saute_pan_with_burnt_residue_419.jpg,"burnt, pan, dirty, residue"
greasy_plates_with_food_stains_429.jpg,"stains, food"
dirty_casserole_with_food_residue_and_food_stains_316.jpg,"food, casserole, residue, dirty, stains"
dirty_casserole_with_food_residue_and_food_stains_470.jpg,"food, casserole, residue, dirty, stains"
unwashed_plates_184.jpg,
dirty_dutch_oven_with_food_residue_and_food_stains_349.jpg,"food, dutch, residue, dirty, oven, stains"
dirty_sauce_pan_with_sauce_residue_104.jpg,"pan, dirty, residue"
dirty_casserole_with_food_residue_and_food_stains_47.jpg,"food, casserole, residue, dirty, stains"
coffee_cups_with_coffee_stains_370.jpg,"stains, cups, coffee"
coffee_cups_with_coffee_stains_364.jpg,"stains, cups, coffee"
dirty_casserole_with_food_residue_and_food_stains_53.jpg,"food, casserole, residue, dirty, stains"
dirty_sauce_pan_with_sauce_residue_110.jpg,"pan, dirty, residue"
dirty_casserole_with_food_residue_and_food_stains_464.jpg,"food, casserole, residue, dirty, stains"
unwashed_plates_190.jpg,
dirty_casserole_with_food_residue_and_food_stains_302.jpg,"food, casserole, residue, dirty, stains"
coffee_cups_with_coffee_stains_402.jpg,"stains, cups, coffee"
dirty_dutch_oven_with_food_residue_and_food_stains_413.jpg,"food, dutch, residue, dirty, oven, stains"
dirty_saute_pan_with_burnt_residue_425.jpg,"burnt, pan, dirty, residue"
greasy_plates_with_food_stains_415.jpg,"stains, food"
greasy_plates_with_food_stains_90.jpg,"stains, food"
dirty_wok_with_food_residue_and_food_stains_246.jpg,"food, wok, residue, dirty, stains"
dirty_sauce_pan_with_sauce_residue_138.jpg,"pan, dirty, residue"
greasy_plates_with_food_stains_373.jpg,"stains, food"
dirty_saute_pan_with_burnt_residue_343.jpg,"burnt, pan, dirty, residue"
dirty_dutch_oven_with_food_residue_and_food_stains_375.jpg,"food, dutch, residue, dirty, oven, stains"
dirty_casserole_with_food_residue_and_food_stains_458.jpg,"food, casserole, residue, dirty, stains"
dirty_saute_pan_with_burnt_residue_357.jpg,"burnt, pan, dirty, residue"
greasy_plates_with_food_stains_367.jpg,"stains, food"
dirty_dutch_oven_with_food_residue_and_food_stains_361.jpg,"food, dutch, residue, dirty, oven, stains"
coffee_cups_with_coffee_stains_358.jpg,"stains, cups, coffee"
dirty_wok_with_food_residue_and_food_stains_252.jpg,"food, wok, residue, dirty, stains"
dirty_dutch_oven_with_food_residue_and_food_stains_407.jpg,"food, dutch, residue, dirty, oven, stains"
greasy_plates_with_food_stains_401.jpg,"stains, food"
dirty_saute_pan_with_burnt_residue_431.jpg,"burnt, pan, dirty, residue"
greasy_plates_with_food_stains_84.jpg,"stains, food"
unwashed_plates_21.jpg,
dirty_casserole_with_food_residue_and_food_stains_84.jpg,"food, casserole, residue, dirty, stains"
dirty_glasses_with_milk_and_coffee_stains_209.jpg,"stains, dirty, coffee"
burnt_pan_with_residue_114.jpg,"burnt, pan, residue"
unwashed_plates_147.jpg,
greasy_plates_with_food_stains_398.jpg,"stains, food"
burnt_pan_with_residue_100.jpg,"burnt, pan, residue"
unwashed_plates_153.jpg,
dirty_wine_glass_with_red_wine_stains_2.jpg,"stains, dirty"
dirty_casserole_with_food_residue_and_food_stains_90.jpg,"food, casserole, residue, dirty, stains"
unwashed_plates_35.jpg,
dirty_wok_with_food_residue_and_food_stains_285.jpg,"food, wok, residue, dirty, stains"
greasy_plates_with_food_stains_53.jpg,"stains, food"
dirty_saute_pan_with_burnt_residue_380.jpg,"burnt, pan, dirty, residue"
dirty_glasses_with_milk_and_coffee_stains_235.jpg,"stains, dirty, coffee"
burnt_pan_with_residue_128.jpg,"burnt, pan, residue"
dirty_glasses_with_milk_and_coffee_stains_221.jpg,"stains, dirty, coffee"
dirty_saute_pan_with_burnt_residue_394.jpg,"burnt, pan, dirty, residue"
greasy_plates_with_food_stains_47.jpg,"stains, food"
dirty_wok_with_food_residue_and_food_stains_291.jpg,"food, wok, residue, dirty, stains"
dirty_casserole_with_food_residue_and_food_stains_262.jpg,"food, casserole, residue, dirty, stains"
dirty_wine_glass_with_red_wine_stains_141.jpg,"stains, dirty"
dirty_glasses_with_milk_and_coffee_stains_70.jpg,"stains, dirty, coffee"
coffee_cups_with_coffee_stains_204.jpg,"stains, cups, coffee"
dirty_wok_with_food_residue_and_food_stains_468.jpg,"food, wok, residue, dirty, stains"
coffee_cups_with_coffee_stains_210.jpg,"stains, cups, coffee"
dirty_dutch_oven_with_food_residue_and_food_stains_229.jpg,"food, dutch, residue, dirty, oven, stains"
dirty_glasses_with_milk_and_coffee_stains_64.jpg,"stains, dirty, coffee"
dirty_casserole_with_food_residue_and_food_stains_276.jpg,"food, casserole, residue, dirty, stains"
dirty_wine_glass_with_red_wine_stains_155.jpg,"stains, dirty"
burnt_pan_with_residue_11.jpg,"burnt, pan, residue"
dirty_wine_glass_with_red_wine_stains_32.jpg,"stains, dirty"
burnt_pan_with_residue_39.jpg,"burnt, pan, residue"
dirty_wok_with_food_residue_and_food_stains_332.jpg,"food, wok, residue, dirty, stains"
coffee_cups_with_coffee_stains_238.jpg,"stains, cups, coffee"
dirty_wok_with_food_residue_and_food_stains_454.jpg,"food, wok, residue, dirty, stains"
dirty_dutch_oven_with_food_residue_and_food_stains_201.jpg,"food, dutch, residue, dirty, oven, stains"
dirty_saute_pan_with_burnt_residue_237.jpg,"burnt, pan, dirty, residue"
dirty_glasses_with_milk_and_coffee_stains_382.jpg,"stains, dirty, coffee"
greasy_plates_with_food_stains_207.jpg,"stains, food"
dirty_dutch_oven_with_food_residue_and_food_stains_215.jpg,"food, dutch, residue, dirty, oven, stains"
greasy_plates_with_food_stains_213.jpg,"stains, food"
dirty_glasses_with_milk_and_coffee_stains_396.jpg,"stains, dirty, coffee"
dirty_saute_pan_with_burnt_residue_223.jpg,"burnt, pan, dirty, residue"
dirty_glasses_with_milk_and_coffee_stains_58.jpg,"stains, dirty, coffee"
dirty_wok_with_food_residue_and_food_stains_440.jpg,"food, wok, residue, dirty, stains"
dirty_wok_with_food_residue_and_food_stains_326.jpg,"food, wok, residue, dirty, stains"
dirty_wine_glass_with_red_wine_stains_26.jpg,"stains, dirty"
dirty_wine_glass_with_red_wine_stains_169.jpg,"stains, dirty"
dirty_wine_glass_with_red_wine_stains_182.jpg,"stains, dirty"
dirty_saute_pan_with_burnt_residue_75.jpg,"burnt, pan, dirty, residue"
dirty_glasses_with_milk_and_coffee_stains_369.jpg,"stains, dirty, coffee"
dirty_saute_pan_with_burnt_residue_61.jpg,"burnt, pan, dirty, residue"
dirty_wine_glass_with_red_wine_stains_196.jpg,"stains, dirty"
dirty_glasses_with_milk_and_coffee_stains_427.jpg,"stains, dirty, coffee"
dirty_glasses_with_milk_and_coffee_stains_341.jpg,"stains, dirty, coffee"
dirty_saute_pan_with_burnt_residue_49.jpg,"burnt, pan, dirty, residue"
dirty_wok_with_food_residue_and_food_stains_497.jpg,"food, wok, residue, dirty, stains"
dirty_wok_with_food_residue_and_food_stains_483.jpg,"food, wok, residue, dirty, stains"
dirty_glasses_with_milk_and_coffee_stains_355.jpg,"stains, dirty, coffee"
dirty_glasses_with_milk_and_coffee_stains_433.jpg,"stains, dirty, coffee"
